통화명,환율
미국 USD,"1,403.60"
유럽연합 EUR,"1,471.81"
일본 JPY (100엔),936.39
중국 CNY,192.07
홍콩 HKD,180.37
대만 TWD,43.00
영국 GBP,"1,774.78"
오만 OMR,"3,645.81"
캐나다 CAD,998.47
스위스 CHF,"1,580.72"
스웨덴 SEK,127.42
호주 AUD,907.57
뉴질랜드 NZD,824.33
체코 CZK,58.32
칠레 CLP,1.43
튀르키예 TRY,40.39
몽골 MNT,0.41
이스라엘 ILS,384.36
덴마크 DKK,197.32
노르웨이 NOK,126.21
사우디아라비아 SAR,373.61
쿠웨이트 KWD,"4,564.70"
바레인 BHD,"3,722.78"
아랍에미리트 AED,382.14
요르단 JOD,"1,979.69"
이집트 EGP,28.23
태국 THB,40.65
싱가포르 SGD,"1,041.52"
말레이시아 MYR,313.97
인도네시아 IDR 100,8.83
카타르 QAR,385.03
카자흐스탄 KZT,2.67
브루나이 BND,"1,041.52"
인도 INR,16.55
파키스탄 PKR,5.05
방글라데시 BDT,11.75
필리핀 PHP,23.92
멕시코 MXN,68.73
브라질 BRL,231.68
베트남 VND 100,5.53
남아프리카 공화국 ZAR,77.21
러시아 RUB,13.06
헝가리 HUF,3.55
폴란드 PLN,343.52
스리랑카 LKR,4.83
알제리 DZD,10.49
케냐 KES,10.82
콜롬비아 COP,0.31
탄자니아 TZS,0.53
네팔 NPR,10.36
루마니아 RON,295.66
리비아 LYD,287.61
마카오 MOP,175.03
미얀마 MMK,0.67
에티오피아 ETB,11.24
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.35
피지 FJD,617.30
